2023-05-27 11:11:39,755 | INFO | ---------------------------------------------------

2023-05-27 11:51:32,227 | INFO | Performing Forward Selection with ratio of 0.35000000000000003
2023-05-27 11:51:32,228 | INFO | ---------------------------------------------------

2023-05-27 13:34:32,541 | INFO | Performing Forward Selection with ratio of 0.45000000000000007
2023-05-27 13:34:32,542 | INFO | ---------------------------------------------------

2023-05-27 16:43:36,569 | INFO | Performing Forward Selection with ratio of 0.5500000000000002
2023-05-27 16:43:36,569 | INFO | ---------------------------------------------------

2023-05-27 21:04:05,520 | INFO | Forward Selection Finished.
2023-05-27 21:04:05,521 | INFO | Beat Feature Count:28
2023-05-27 21:04:05,522 | INFO | -----------------------------
2023-05-27 21:04:05,537 | INFO | SFS hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 21:04:05,538 | INFO | -------------------------------------------------------------------

2023-05-27 21:04:05,538 | INFO | GridSearchCV Starting:
2023-05-27 21:04:05,539 | INFO | ----------------------

2023-05-27 21:14:01,696 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 17}
2023-05-27 21:14:01,696 | INFO | ----------------------------------------

2023-05-29 17:48:40,995 | INFO | Performing operations for SVC with RBF Kernel:
2023-05-29 17:48:40,996 | INFO | -------------------------------------------

2023-05-29 17:48:40,996 | INFO | Baseline hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:48:40,996 | INFO | -------------------------------------------------------------------

2023-05-29 17:48:40,997 | INFO | GridSearchCV Starting:
2023-05-29 17:48:40,997 | INFO | ----------------------

2023-05-29 17:51:32,905 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': 'balanced', 'gamma': 0.1}
2023-05-29 17:51:32,906 | INFO | ----------------------------------------

2023-05-29 17:51:33,382 | INFO | PCA Starting PCA
2023-05-29 17:51:33,382 | INFO | --------------------------

2023-05-29 17:51:33,470 | INFO | Selecting 71 principal component making up 75% of the variance:

2023-05-29 17:51:33,471 | INFO | -----------------------------------------------------------------------

2023-05-29 17:51:33,473 | INFO | PCA with 75% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:51:33,473 | INFO | -------------------------------------------------------------------

2023-05-29 17:51:33,474 | INFO | GridSearchCV Starting:
2023-05-29 17:51:33,474 | INFO | ----------------------

2023-05-29 17:52:31,959 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 0.1}
2023-05-29 17:52:31,960 | INFO | ----------------------------------------

2023-05-29 17:52:32,109 | INFO | Selecting 95 principal component making up 80% of the variance:

2023-05-29 17:52:32,110 | INFO | -----------------------------------------------------------------------

2023-05-29 17:52:32,111 | INFO | PCA with 80% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:52:32,111 | INFO | -------------------------------------------------------------------

2023-05-29 17:52:32,112 | INFO | GridSearchCV Starting:
2023-05-29 17:52:32,112 | INFO | ----------------------

2023-05-29 17:53:35,271 | INFO | Best parameter set: {'C': 16, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-29 17:53:35,271 | INFO | ----------------------------------------

2023-05-29 17:53:35,467 | INFO | Selecting 125 principal component making up 85% of the variance:

2023-05-29 17:53:35,468 | INFO | -----------------------------------------------------------------------

2023-05-29 17:53:35,469 | INFO | PCA with 85% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:53:35,469 | INFO | -------------------------------------------------------------------

2023-05-29 17:53:35,469 | INFO | GridSearchCV Starting:
2023-05-29 17:53:35,470 | INFO | ----------------------

2023-05-29 17:54:46,539 | INFO | Best parameter set: {'C': 6, 'break_ties': False, 'class_weight': None, 'gamma': 'scale'}
2023-05-29 17:54:46,540 | INFO | ----------------------------------------

2023-05-29 17:54:46,773 | INFO | Selecting 166 principal component making up 90% of the variance:

2023-05-29 17:54:46,773 | INFO | -----------------------------------------------------------------------

2023-05-29 17:54:46,776 | INFO | PCA with 90% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-29 17:54:46,776 | INFO | -------------------------------------------------------------------

2023-05-29 17:54:46,776 | INFO | GridSearchCV Starting:
